what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1300897135908
started,bundle,org.eclipse.gmt.modisco.infra.browser.custom,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.browser.custom",1300897135908
started,bundle,org.eclipse.gmt.modisco.infra.browser.custom.core,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.browser.custom.core",1300897135908
started,bundle,org.eclipse.gmt.modisco.infra.browser.custom.examples.java.jdk,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.browser.custom.examples.java.jdk",1300897135908
started,bundle,org.eclipse.gmt.modisco.infra.browser.custom.examples.uml,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.browser.custom.examples.uml",1300897135908
started,bundle,org.eclipse.gmt.modisco.infra.browser.uicore,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.browser.uicore",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.common.core,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.common.core",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.facet,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.facet",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.facet.core,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.facet.core",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.query,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.query",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.query.core,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.query.core",1300897135909
started,bundle,org.eclipse.gmt.modisco.infra.query.jxpath,0.8.2.v201102100957,"org.eclipse.gmt.modisco.infra.query.jxpath",1300897135909
started,bundle,org.eclipse.gmt.modisco.java,0.8.2.v201102100957,"org.eclipse.gmt.modisco.java",1300897135909
started,bundle,org.eclipse.gmt.modisco.java.queries,0.8.2.v201102100957,"org.eclipse.gmt.modisco.java.queries",1300897135909
started,bundle,org.eclipse.gmt.modisco.kdm.browser.extension,0.8.2.v201102100957,"org.eclipse.gmt.modisco.kdm.browser.extension",1300897135909
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,"org.eclipse.jdt.core",1300897135909
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1300897135920
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1300897135921
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1300897135921
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1300897135921
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1300897135921
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1300897135921
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1300897135921
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1300897135921
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1300897135921
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1300897135921
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1300897135922
started,bundle,org.eclipse.uml2.uml,3.1.2.v201010261927,"org.eclipse.uml2.uml",1300897135922
started,bundle,it.unipd.chess,0.9.0.qualifier,"it.unipd.chess",1300897135922
os,sysinfo,,,"linux",1300897135926
arch,sysinfo,,,"x86",1300897135926
ws,sysinfo,,,"gtk",1300897135926
locale,sysinfo,,,"en_US",1300897135926
processors,sysinfo,,,"2",1300897135926
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1300897135926
java.runtime.version,sysinfo,,,"1.6.0_21-b06",1300897135926
java.specification.name,sysinfo,,,"Java Platform API Specification",1300897135926
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300897135926
java.specification.version,sysinfo,,,"1.6",1300897135926
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1300897135926
java.version,sysinfo,,,"1.6.0_21",1300897135926
java.vm.info,sysinfo,,,"mixed mode",1300897135926
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1300897135926
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1300897135926
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1300897135926
java.vm.specification.version,sysinfo,,,"1.0",1300897135926
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1300897135926
java.vm.version,sysinfo,,,"17.0-b16",1300897135926
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1300897136467
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1300897136516
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1300897136544
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1300897136781
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui",1300897136806
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1300897136958
opened,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300897137270
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1300897137384
started,bundle,org.eclipse.m2m.qvt.oml.ui,2.1.0.v20091116-1630,"org.eclipse.m2m.qvt.oml.ui",1300897139014
started,bundle,org.eclipse.m2m.qvt.oml.project,2.1.0.v20100524-1530,"org.eclipse.m2m.qvt.oml.project",1300897139029
started,bundle,org.eclipse.gmf.xpand.migration,1.0.100.v20100309-2359,"org.eclipse.gmf.xpand.migration",1300897140199
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1300897140240
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1300897140711
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,"org.eclipse.jdt.launching",1300897140779
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.301.R36_v20100727-0110,"org.eclipse.jdt.apt.pluggable.core",1300897140783
started,bundle,org.eclipse.jdt.apt.core,3.3.402.R36_v20110120-1000,"org.eclipse.jdt.apt.core",1300897140790
started,bundle,org.eclipse.pde.core,3.6.2.v20110210_r362,"org.eclipse.pde.core",1300897140923
started,bundle,org.eclipse.pde,3.6.1.v201102101200,"org.eclipse.pde",1300897140935
